date,home_team,away_team,home_score,away_score,tournament,city,country,neutral,home_key,away_key,world_cup,home_fifa_rank,home_fifa_points,home_fifa_release_date,away_fifa_rank,away_fifa_points,away_fifa_release_date,fifa_rank_diff,fifa_points_diff
2014-06-12,Brazil,Croatia,3,1,FIFA World Cup,São Paulo,Brazil,False,brazil,croatia,2014,3,1242.0,2014-06-05,18,903.0,2014-06-05,-15,339.0
2014-06-13,Chile,Australia,3,1,FIFA World Cup,Cuiabá,Brazil,True,chile,australia,2014,14,1026.0,2014-06-05,62,526.0,2014-06-05,-48,500.0
2014-06-13,Mexico,Cameroon,1,0,FIFA World Cup,Natal,Brazil,True,mexico,cameroon,2014,20,882.0,2014-06-05,56,558.0,2014-06-05,-36,324.0
2014-06-13,Spain,Netherlands,1,5,FIFA World Cup,Salvador,Brazil,True,spain,netherlands,2014,1,1485.0,2014-06-05,15,981.0,2014-06-05,-14,504.0
2014-06-14,Uruguay,Costa Rica,1,3,FIFA World Cup,Fortaleza,Brazil,True,uruguay,costa rica,2014,7,1147.0,2014-06-05,28,762.0,2014-06-05,-21,385.0
2014-06-14,Ivory Coast,Japan,2,1,FIFA World Cup,Recife,Brazil,True,cote d'ivoire,japan,2014,23,809.0,2014-06-05,46,626.0,2014-06-05,-23,183.0
2014-06-14,England,Italy,1,2,FIFA World Cup,Manaus,Brazil,True,england,italy,2014,10,1090.0,2014-06-05,9,1104.0,2014-06-05,1,-14.0
2014-06-14,Colombia,Greece,3,0,FIFA World Cup,Belo Horizonte,Brazil,True,colombia,greece,2014,8,1137.0,2014-06-05,12,1064.0,2014-06-05,-4,73.0
2014-06-15,Argentina,Bosnia and Herzegovina,2,1,FIFA World Cup,Rio de Janeiro,Brazil,True,argentina,bosnia and herzegovina,2014,5,1175.0,2014-06-05,21,873.0,2014-06-05,-16,302.0
2014-06-15,France,Honduras,3,0,FIFA World Cup,Porto Alegre,Brazil,True,france,honduras,2014,17,913.0,2014-06-05,33,731.0,2014-06-05,-16,182.0
2014-06-15,Switzerland,Ecuador,2,1,FIFA World Cup,Brasília,Brazil,True,switzerland,ecuador,2014,6,1149.0,2014-06-05,26,791.0,2014-06-05,-20,358.0
2014-06-16,Germany,Portugal,4,0,FIFA World Cup,Salvador,Brazil,True,germany,portugal,2014,2,1300.0,2014-06-05,4,1189.0,2014-06-05,-2,111.0
2014-06-16,Ghana,United States,1,2,FIFA World Cup,Natal,Brazil,True,ghana,usa,2014,37,704.0,2014-06-05,13,1035.0,2014-06-05,24,-331.0
