team_key,eafc_player_count,eafc_top_23_ovr,eafc_top_11_ovr,eafc_top_5_ovr,eafc_attack_ovr,eafc_midfield_ovr,eafc_defense_ovr,eafc_gk_ovr,eafc_reliability,eafc_strength_scaled
france,843,85.17391304347827,86.72727272727273,88.4,86.83333333333333,83.875,84.375,83.33333333333333,1.0,1942.278654803291
spain,843,84.95652173913044,86.45454545454545,88.2,82.16666666666667,86.5,83.75,85.66666666666667,1.0,1933.263401115481
england,1411,83.95652173913044,86.0909090909091,88.2,85.0,84.75,82.125,82.0,1.0,1891.793234151555
brazil,343,83.91304347826087,86.36363636363636,88.4,83.16666666666667,83.375,83.75,85.0,1.0,1889.990183413993
germany,1122,83.82608695652173,85.72727272727273,87.8,80.5,84.875,83.5,84.33333333333333,1.0,1886.3840819388688
italy,531,83.43478260869566,85.0909090909091,86.8,81.0,83.125,83.375,85.0,1.0,1870.156625300811
portugal,302,83.21739130434783,85.27272727272727,86.6,80.5,84.625,82.0,80.66666666666667,1.0,1861.141371613001
argentina,979,82.65217391304348,85.0,86.8,84.0,83.375,80.125,82.0,1.0,1837.701712024695
netherlands,410,82.52173913043478,84.72727272727273,86.4,78.16666666666667,83.5,83.75,78.33333333333333,1.0,1832.2925598120087
belgium,285,81.17391304347827,83.72727272727273,85.6,81.5,81.5,76.875,84.66666666666667,1.0,1776.397986947587
uruguay,210,78.91304347826087,81.18181818181819,83.6,77.16666666666667,80.625,78.0,76.0,1.0,1682.6393485943631
croatia,153,78.82608695652173,81.18181818181819,82.6,78.16666666666667,80.375,76.375,77.0,1.0,1679.0332471192387
morocco,121,78.52173913043478,80.9090909090909,83.2,78.16666666666667,77.875,78.25,71.0,1.0,1666.4118919563048
switzerland,232,78.52173913043478,81.45454545454545,84.4,74.83333333333333,79.125,77.0,83.33333333333333,1.0,1666.4118919563048
turkiye,259,78.43478260869566,80.27272727272727,81.8,76.83333333333333,79.875,77.0,78.33333333333333,1.0,1662.805790481181
denmark,364,78.34782608695652,79.72727272727273,81.0,77.16666666666667,79.25,77.375,78.66666666666667,1.0,1659.1996890060566
colombia,177,77.95652173913044,79.72727272727273,81.8,78.66666666666667,77.875,77.375,74.33333333333333,1.0,1642.972232367999
serbia,100,77.78260869565217,80.54545454545455,82.4,75.5,78.0,74.875,80.66666666666667,1.0,1635.7600294177507
