date,home_team,away_team,home_key,away_key,tournament,home_goals,away_goals,home_elo,away_elo,rating_diff,rating_sum,eafc_strength_diff,eafc_top_23_diff,eafc_attack_diff,eafc_midfield_diff,eafc_defense_diff,eafc_gk_diff,eafc_reliability_diff,home_recent_gf,away_recent_gf,home_recent_ga,away_recent_ga,home_recent_win_rate,away_recent_win_rate,home_advantage,neutral,importance,sample_weight
2014-01-01,Kuwait,Jordan,kuwait,jordan,WAFF Championship,1,2,1649.3076493718045,1644.2727203793631,5.034928992441337,3293.5803697511674,-243.31168008544978,-5.867149758454104,-6.0,-5.0,-5.708333333333343,-6.0909090909090935,0.6086956521739131,1.5,0.6,0.7,0.9,0.7,0.55,0,1,2.0,0.15859327163798184
2014-01-04,Bahrain,Jordan,bahrain,jordan,WAFF Championship,0,1,1571.474413977841,1655.4321178172968,-83.95770383945569,3226.906531795138,-243.31168008544978,-5.867149758454104,-6.0,-5.0,-5.708333333333343,-6.0909090909090935,0.6086956521739131,0.8,0.7,0.5,0.9,0.6,0.6,0,1,2.0,0.15875618202082695
2014-01-04,Namibia,Ghana,namibia,ghana,Friendly,0,1,1408.7531495655571,1756.806938920812,-348.0537893552548,3165.560088486369,-347.9887923494664,-8.391304347826093,-5.833333333333329,-10.5,-7.75,-0.6666666666666714,-0.9565217391304348,0.8,2.0,0.9,1.3,0.4,0.6,1,0,1.0,0.11642120014860644
2014-01-04,Nigeria,Ethiopia,nigeria,ethiopia,Friendly,2,1,1748.7117628199242,1485.2967116163802,263.41505120354395,3234.0084744363044,356.9038765518558,8.606280193236714,12.333333333333329,6.75,6.458333333333343,-1.4090909090909065,0.30434782608695654,2.1,1.2,1.1,1.2,0.65,0.55,1,0,1.0,0.11642120014860644
2014-01-04,Qatar,Kuwait,qatar,kuwait,WAFF Championship,3,0,1585.3023459306446,1638.1482519338708,-52.84590600322622,3223.4505978645157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3,1.5,1.1,0.8,0.7,0.65,1,0,2.0,0.15875618202082695
2014-01-07,Bahrain,Kuwait,bahrain,kuwait,WAFF Championship,0,0,1563.0820008316532,1623.2129687505537,-60.130967918900524,3186.294969582207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,1.5,0.6,1.0,0.5,0.65,0,1,2.0,0.1589192597486834
2014-01-07,Qatar,Jordan,qatar,jordan,WAFF Championship,2,0,1600.2376291139617,1663.8245309634847,-63.586901849522974,3264.0621600774466,-243.31168008544978,-5.867149758454104,-6.0,-5.0,-5.708333333333343,-6.0909090909090935,0.6086956521739131,2.5,0.7,0.6,0.8,0.8,0.65,1,0,2.0,0.1589192597486834
2014-01-07,Zimbabwe,Gabon,zimbabwe,gabon,Friendly,2,0,1489.8111956789655,1572.072366372452,-82.26117069348652,3061.8835620514174,-155.10919591702213,-3.740259740259745,-17.0,-3.142857142857139,2.0,-3.740259740259745,0.13043478260869568,0.9,1.0,1.4,0.9,0.4,0.45,0,1,1.0,0.11654079048236783
2014-01-15,Moldova,Norway,moldova,norway,Friendly,1,2,1431.4131330078544,1648.7020685652565,-217.28893555740206,3080.115201573111,-566.5185417419802,-13.66086956521739,-13.333333333333329,-15.791666666666664,-11.024999999999999,-7.0,-0.782608695652174,1.5,0.9,1.6,1.5,0.45,0.3,0,1,1.0,0.1168602989610112
2014-01-17,Moldova,Sweden,moldova,sweden,Friendly,1,2,1427.407071436975,1795.7841742677847,-368.3771028308097,3223.1912457047597,-577.3368461673524,-13.92173913043478,-13.833333333333329,-15.166666666666664,-11.774999999999999,-8.0,-0.782608695652174,1.5,1.8,1.5,1.5,0.45,0.6,0,1,1.0,0.11694031285652445
2014-01-18,Norway,Poland,norway,poland,Friendly,0,3,1652.7081301361359,1654.9502309538404,-2.242100817704568,3307.658361089976,12.621355162933696,0.30434782608695343,3.666666666666657,2.625,0.25,-8.666666666666671,0.0,1.1,1.7,1.5,1.0,0.4,0.55,0,1,1.0,0.1169803403464149
2014-01-20,Moldova,Poland,moldova,poland,Friendly,0,1,1425.4789916145537,1667.3463659493798,-241.86737433482608,3092.8253575639337,-553.8971865790465,-13.356521739130436,-9.666666666666671,-13.166666666666664,-10.774999999999999,-15.666666666666671,-0.782608695652174,1.6,1.5,1.6,1.0,0.45,0.55,0,1,1.0,0.11706043643390401
2014-01-21,Iceland,Sweden,iceland,sweden,Friendly,0,2,1523.670016059219,1797.712254090206,-274.04223803098694,3321.382270149425,-304.715574647978,-7.347826086956516,-10.0,-6.5,-7.375,-4.666666666666671,0.0,1.4,1.9,1.5,1.6,0.55,0.6,0,1,1.0,0.11710050504088373
2014-01-22,Chile,Costa Rica,chile,costa rica,Friendly,4,0,1854.7144407525484,1734.3435449325323,120.37089582001613,3589.057985685081,272.26066137186194,6.565217391304344,8.0,6.25,6.0,2.6666666666666714,0.4782608695652174,2.6,1.4,1.2,0.7,0.75,0.55,1,0,1.0,0.11714058736294353
2014-01-24,Oman,Finland,oman,finland,Friendly,0,0,1643.7287978153795,1646.414147357881,-2.685349542501399,3290.14294517326,-68.4157585419357,-1.6497584541062764,-1.5,-2.0,2.291666666666657,-4.0909090909090935,-0.30434782608695654,0.8,1.1,0.3,1.0,0.65,0.55,1,0,1.0,0.11722079317108329
2014-01-25,Costa Rica,South Korea,costa rica,korea republic,Friendly,0,1,1726.7685445792686,1739.4246429504506,-12.656098371181997,3466.193187529719,-297.50337169773024,-7.173913043478265,-11.333333333333329,-6.25,-4.5,-3.3333333333333286,-0.4782608695652174,1.1,1.2,1.1,1.1,0.45,0.45,0,1,1.0,0.11726091666655714
2014-01-29,Mexico,South Korea,mexico,korea republic,Friendly,4,0,1815.8938172131307,1748.096943269746,67.79687394338475,3563.990760482877,-173.09287080595232,-4.173913043478265,-0.3333333333333286,-7.375,-2.25,-9.666666666666657,0.0,2.2,1.3,1.4,1.1,0.6,0.5,0,1,1.0,0.11742154803414918
2014-01-31,Oman,Jordan,oman,jordan,AFC Asian Cup qualification,0,0,1642.257437146993,1651.6150382192352,-9.357601072242232,3293.872475366228,-243.31168008544978,-5.867149758454104,-6.0,-5.0,-5.708333333333343,-6.0909090909090935,0.6086956521739131,0.5,0.6,0.2,0.9,0.6,0.6,1,0,3.0,0.20295790709900974
2014-02-01,United States,South Korea,usa,korea republic,Friendly,2,0,1842.7388034060286,1736.4031846854211,106.3356187206075,3579.14198809145,119.00134867909173,2.8695652173912976,0.6666666666666714,4.0,5.0,-1.3333333333333286,0.0,2.1,1.3,1.1,1.5,0.75,0.45,1,0,1.0,0.11754216594654195
2014-02-04,Singapore,Jordan,singapore,jordan,AFC Asian Cup qualification,1,3,1416.0417339951048,1653.496618651619,-237.4548846565142,3069.538352646724,-243.31168008544978,-5.867149758454104,-6.0,-5.0,-5.708333333333343,-6.0909090909090935,0.6086956521739131,1.2,0.5,2.0,0.8,0.5,0.6,1,0,3.0,0.20323593158583547
2014-02-19,Lebanon,Pakistan,lebanon,pakistan,Friendly,3,1,1463.2076224782068,1189.4953497797894,273.71227269841734,2652.7029722579964,-248.82100178355608,-6.0,-7.0,-5.0,-6.0,-6.0,0.043478260869565216,0.6,0.7,1.4,1.4,0.35,0.35,1,0,1.0,0.1182684798070716
2014-02-21,Iraq,North Korea,iraq,north korea,Friendly,2,0,1606.2542082875502,1650.534260129242,-44.28005184169183,3256.788468416792,-135.44917818507474,-3.2661835748792356,-5.0,-4.125,0.041666666666671404,-3.0424242424242465,-0.04347826086956519,0.7,2.3,1.5,0.7,0.35,0.7,0,1,1.0,0.11834945787977837
2014-02-23,Sealand,Chagos Islands,sealand,chagos islands,Friendly,4,2,1449.2984242974246,1525.6100402285958,-76.31161593117122,2974.9084645260205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5714285714285714,4.5,3.142857142857143,1.0,0.35714285714285715,1.0,0,1,1.0,0.11843049139792812
2014-03-01,Malaysia,Philippines,malaysia,philippines,Friendly,0,0,1359.2888668586552,1376.201555669091,-16.91268881043584,2735.490422527746,155.51312611472258,3.75,8.5,0.6666666666666714,5.25,3.75,-0.08695652173913043,0.4,1.6,1.9,1.1,0.15,0.55,1,0,1.0,0.11867392500479888
2014-03-01,Gibraltar,Faroe Islands,gibraltar,faroe islands,Friendly,1,4,1628.9228498692946,1219.5607987632588,409.3620511060358,2848.4836486325535,-200.14998645980017,-9.25,-12.0,-5.0,-12.0,-8.0,-0.13043478260869565,3.3,0.5,1.0,2.8,0.7,0.05,1,0,1.0,0.11867392500479888
2014-03-03,Iran,Kuwait,ir iran,kuwait,AFC Asian Cup qualification,3,2,1781.4779119864138,1621.3279728082348,160.149939178179,3402.8058847946486,77.43101222974587,1.8671497584541044,9.0,0.6666666666666714,-1.2916666666666572,-0.9090909090909065,-0.43478260869565216,2.4,1.3,0.7,0.9,0.85,0.6,1,0,3.0,0.20512258481887885
2014-03-05,North Macedonia,Latvia,north macedonia,latvia,Friendly,2,1,1525.1758805965153,1467.9157787185845,57.260101877930765,2993.0916593150996,145.4505120720048,3.507352941176464,2.0,14.833333333333329,0.0,7.291666666666671,0.3913043478260869,0.9,1.0,1.5,2.2,0.3,0.3,1,0,1.0,0.11883649199994906
2014-03-05,Malawi,Zimbabwe,malawi,zimbabwe,Friendly,1,4,1463.5029843243294,1501.9969535935043,-38.49396926917484,2965.4999379178334,-154.0320487231536,-3.714285714285708,-1.0,-2.857142857142861,-6.0,-3.714285714285708,-0.5652173913043479,0.8,1.1,1.1,1.2,0.4,0.5,1,0,1.0,0.11883649199994906
2014-03-05,Mali,Senegal,mali,senegal,Friendly,1,1,1587.0001421722534,1647.6652201952568,-60.66507802300339,3234.66536236751,-146.04710974252203,-3.5217391304347814,-2.0,-3.5,-2.375,-9.0,0.0,1.0,0.9,1.6,1.4,0.3,0.45,0,1,1.0,0.11883649199994906
2014-03-05,Mauritania,Niger,mauritania,niger,Friendly,1,1,1329.268058543213,1416.482542513271,-87.21448397005793,2745.750601056484,-145.14558437374103,-3.5,-3.5,-4.0,-5.0,0.0,0.21739130434782608,0.4,0.8,1.0,1.9,0.35,0.25,1,0,1.0,0.11883649199994906
2014-03-05,Montenegro,Ghana,montenegro,ghana,Friendly,1,0,1588.0557951589835,1759.687077236976,-171.6312820779924,3347.7428723959592,-336.14017321691585,-8.105590062111801,-5.166666666666657,-13.099999999999994,-6.125,0.3333333333333286,-0.08695652173913049,1.5,1.8,1.7,1.2,0.55,0.6,1,0,1.0,0.11883649199994906
2014-03-05,Morocco,Gabon,morocco,gabon,Friendly,1,1,1601.771035083992,1559.8866084579133,41.88442662607872,3161.6576435419056,376.01803563338444,9.067193675889328,-1.8333333333333286,9.875,12.25,1.5454545454545467,0.5217391304347826,1.3,0.9,1.2,1.1,0.55,0.35,1,0,1.0,0.11883649199994906
2014-03-05,Mozambique,Angola,mozambique,angola,Friendly,1,1,1469.0981475004728,1556.090192576191,-86.99204507571812,3025.1883400766637,165.8806678557039,4.0,-2.8333333333333286,8.875,0.0,2.5,-0.782608695652174,0.5,1.2,1.7,1.3,0.35,0.4,1,0,1.0,0.11883649199994906
2014-03-05,Namibia,Tanzania,namibia,tanzania,Friendly,1,1,1405.8730112493931,1471.3691354565792,-65.49612420718609,2877.242146705972,27.646777975950954,0.6666666666666714,-5.0,-1.0,8.0,0.6666666666666714,-0.08695652173913043,0.8,0.9,0.9,1.3,0.4,0.4,1,0,1.0,0.11883649199994906
2014-03-05,Oman,Singapore,oman,singapore,AFC Asian Cup qualification,3,1,1640.3758567146092,1408.4799246869434,231.89593202766582,3048.8557814015526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,1.3,0.1,1.9,0.6,0.5,1,0,3.0,0.20526303163627563
2014-03-05,Philippines,Azerbaijan,philippines,azerbaijan,Friendly,0,1,1377.312005924739,1453.495309486496,-76.18330356175693,2830.807315411235,42.951244355494964,1.0357142857142918,-3.5,3.8333333333333286,0.0833333333333286,2.25,-0.4347826086956522,1.6,1.0,1.0,0.8,0.6,0.5,0,1,1.0,0.11883649199994906
2014-03-05,Poland,Scotland,poland,scotland,Friendly,0,1,1670.9290993566153,1674.2683044339808,-3.3392050773654773,3345.197403790596,43.273217701487965,1.0434782608695627,1.0,-2.375,-0.875,11.0,0.0,1.4,1.0,1.0,1.0,0.55,0.55,1,0,1.0,0.11883649199994906
2014-03-05,Portugal,Cameroon,portugal,cameroon,Friendly,5,1,1866.943434760218,1703.8385079307986,163.10492682941936,3570.7819426910164,358.8070967748383,8.652173913043484,5.333333333333329,10.0,8.75,10.333333333333343,0.0,1.8,1.0,0.9,0.3,0.8,0.65,1,0,1.0,0.11883649199994906
2014-03-05,Qatar,Bahrain,qatar,bahrain,AFC Asian Cup qualification,0,0,1612.4471218582112,1564.9669967739721,47.480125084239035,3177.414118632183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4,0.6,0.6,0.4,0.8,0.55,1,0,3.0,0.20526303163627563
2014-03-05,Romania,Argentina,romania,argentina,Friendly,0,0,1715.977239580812,1948.8046536542686,-232.82741407345657,3664.7818932350806,-385.8528578382686,-9.304347826086968,-12.166666666666671,-8.75,-8.375,-9.666666666666671,0.0,1.8,2.0,1.3,0.9,0.55,0.7,1,0,1.0,0.11883649199994906
2014-03-05,Russia,Armenia,russia,armenia,Friendly,2,0,1797.619495353526,1534.7648591688046,262.85463618472136,3332.384354522331,76.31662670444689,1.8402777777777715,3.1666666666666714,0.7999999999999972,8.333333333333329,4.7777777777777715,0.3043478260869565,1.8,1.5,0.8,1.4,0.65,0.5,1,0,1.0,0.11883649199994906
2014-03-05,South Africa,Brazil,south africa,brazil,Friendly,0,5,1654.6702250926735,2035.4195619281882,-380.74933683551467,3690.089787020862,-731.0082847429937,-17.627329192546583,-17.16666666666667,-17.974999999999994,-16.58333333333333,-18.714285714285708,-0.3913043478260869,1.6,2.9,0.8,0.6,0.7,0.9,1,0,1.0,0.11883649199994906
2014-03-05,Spain,Italy,spain,italy,Friendly,1,0,2046.3351763928656,1855.8228095043717,190.51236688849394,3902.1579858972373,63.10677581467007,1.5217391304347814,1.1666666666666714,3.375,0.375,0.6666666666666714,0.0,1.5,1.5,0.8,1.6,0.7,0.5,1,0,1.0,0.11883649199994906
2014-03-05,Saint Lucia,Jamaica,saint lucia,jamaica,Friendly,0,5,1294.3060346832265,1600.4310548574044,-306.12502017417796,2894.737089540631,3.706270960544316,0.0893719806763329,3.6666666666666714,-0.125,0.2916666666666572,-1.0909090909090935,-0.30434782608695654,1.2,0.4,2.5,1.5,0.35,0.15,1,0,1.0,0.11883649199994906
2014-03-05,Switzerland,Croatia,switzerland,croatia,Friendly,2,2,1781.1528743917333,1795.2675567343063,-14.114682342572905,3576.4204311260396,-12.621355162933924,-0.30434782608695343,-3.333333333333343,-1.25,0.625,6.333333333333329,0.0,1.4,1.1,0.8,1.1,0.75,0.5,1,0,1.0,0.11883649199994906
2014-03-05,Thailand,Lebanon,thailand,lebanon,AFC Asian Cup qualification,2,5,1510.7589021359238,1465.7338783286314,45.02502380729243,2976.492780464555,0.0,0.0,1.0,-1.0,0.0,0.0,-0.043478260869565216,1.4,0.9,2.3,1.1,0.25,0.45,1,0,3.0,0.20526303163627563
2014-03-05,Turkey,Sweden,turkiye,sweden,Friendly,2,1,1703.6517005833316,1801.0967066161459,-97.44500603281426,3504.7484071994777,37.864065488802225,0.9130434782608745,-3.0,2.375,1.625,5.333333333333329,0.0,1.8,2.0,1.1,1.4,0.65,0.7,1,0,1.0,0.11883649199994906
2014-03-05,Ukraine,United States,ukraine,usa,Friendly,2,0,1776.934159962209,1848.2239603322373,-71.28980037002839,3625.1581202944462,-1.803050737561989,-0.043478260869562746,-3.1666666666666714,-0.375,-0.875,5.333333333333329,0.0,2.8,1.8,0.4,1.0,0.8,0.75,0,1,1.0,0.11883649199994906
