match_date_local,stage,group,team1,team1_score,team2_score,team2,status
2026-06-11,Group stage,A,Mexico,2,0,South Africa,FT
2026-06-11,Group stage,A,South Korea,2,1,Czechia,FT
2026-06-12,Group stage,B,Canada,1,1,Bosnia and Herzegovina,FT
2026-06-12,Group stage,D,United States,4,1,Paraguay,FT
2026-06-13,Group stage,B,Qatar,1,1,Switzerland,FT
2026-06-13,Group stage,C,Brazil,1,1,Morocco,FT
2026-06-13,Group stage,C,Haiti,0,1,Scotland,FT
2026-06-13,Group stage,D,Australia,2,0,Turkey,FT
2026-06-14,Group stage,E,Germany,7,1,Curacao,FT
2026-06-14,Group stage,F,Netherlands,2,2,Japan,FT
2026-06-14,Group stage,E,Ivory Coast,1,0,Ecuador,FT
2026-06-14,Group stage,F,Sweden,5,1,Tunisia,FT
2026-06-15,Group stage,H,Spain,0,0,Cabo Verde,FT
2026-06-15,Group stage,G,Belgium,1,1,Egypt,FT
2026-06-15,Group stage,H,Saudi Arabia,1,1,Uruguay,FT
2026-06-15,Group stage,G,Iran,2,2,New Zealand,FT
2026-06-16,Group stage,I,France,3,1,Senegal,FT
2026-06-16,Group stage,I,Iraq,1,4,Norway,FT
